,Vorname,Nachname,Liga,Saison,Team,Spiele,Tore,Vorlagen,Punkte,Strafminuten,Tore pro Spiel,Vorlagen pro Spiel,Punkte pro Spiel,Strafminuten pro Spiel
1100,Jette,Fallei,Herren Kleinfeld Regionalliga Ost,23/24,Südharzrüpel Großörner,11,8,13,21,0,0.7272727272727273,1.1818181818181819,1.9090909090909092,0.0
1101,Jette,Fallei,Damen Kleinfeld Regionalliga Ost Playoffs,23/24,USV Halle Saalebiber,2,2,3,5,0,1.0,1.5,2.5,0.0
1102,Jette,Fallei,Damen Kleinfeld Regionalliga Ost,23/24,USV Halle Saalebiber,8,10,8,18,0,1.25,1.0,2.25,0.0
1109,Jette,Fallei,,Total,,178,124,91,215,4,0.6966292134831461,0.5112359550561798,1.2078651685393258,0.02247191011235955
609,Angelina,Fischer,Regionalliga Ost U13 Junioren Kleinfeld St. 1,18/19,Floorball Pinguine Jena,3,0,0,0,0,0.0,0.0,0.0,0.0
610,Angelina,Fischer,Regionalliga Ost U13 Junioren Kleinfeld St. 2,19/20,Floorball Pinguine Jena,2,0,0,0,0,0.0,0.0,0.0,0.0
611,Angelina,Fischer,Regionalliga Ost U11 Junioren Kleintor,19/20,Floorball Pinguine Jena,10,4,2,6,0,0.4,0.2,0.6,0.0
612,Angelina,Fischer,Regionalliga Ost U13 Junioren Kleinfeld St. 1,20/21,Floorball Pinguine Jena,4,2,2,4,0,0.5,0.5,1.0,0.0
613,Angelina,Fischer,,Total,,19,6,4,10,0,0.3157894736842105,0.21052631578947367,0.5263157894736842,0.0
1626,Markus,Fleischauer,Verbandsliga Ost Herren St. 2,15/16,USV Jena,2,0,1,1,0,0.0,0.5,0.5,0.0
1627,Markus,Fleischauer,,Total,,2,0,1,1,0,0.0,0.5,0.5,0.0
225,Ulrike,Franke,Regionalliga Ost Damen KF,15/16,USV Jena,12,0,0,0,0,0.0,0.0,0.0,0.0
226,Ulrike,Franke,Verbandsliga Ost Herren Staffel 2,16/17,USV Jena,5,0,0,0,0,0.0,0.0,0.0,0.0
