,Vorname,Nachname,Liga,Saison,Team,Spiele,Tore,Vorlagen,Punkte,Strafminuten,Tore pro Spiel,Vorlagen pro Spiel,Punkte pro Spiel,Strafminuten pro Spiel
1559,Konstantin,Friebel,U11 Junioren Kleinfeld Regionalliga Ost St. 2,23/24,Floorball Pinguine Jena,2,0,1,1,0,0.0,0.5,0.5,0.0
1560,Konstantin,Friebel,,Total,,13,1,5,6,0,0.07692307692307693,0.38461538461538464,0.46153846153846156,0.0
558,Lilly,Fritsche,Regionalliga Ost U13 Junioren Kleinfeld St. 1,18/19,Floorball Pinguine Jena,12,6,1,7,0,0.5,0.08333333333333333,0.5833333333333334,0.0
559,Lilly,Fritsche,Regionalliga Ost Damen Kleinfeld,19/20,USV Jena,2,0,0,0,0,0.0,0.0,0.0,0.0
560,Lilly,Fritsche,Regionalliga Ost U15 Junioren Kleinfeld St. 2,19/20,Floorball Pinguine Jena,9,3,2,5,2,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.2222222222222222
561,Lilly,Fritsche,Regionalliga Ost U13 Junioren Kleinfeld St. 2,19/20,Floorball Pinguine Jena,6,2,2,4,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0
562,Lilly,Fritsche,Regionalliga Ost U15 Junioren,20/21,Floorball Pinguine Jena,4,0,0,0,0,0.0,0.0,0.0,0.0
563,Lilly,Fritsche,U15 Juniorinnen Kleinfeld Deutsche Meisterschaft,21/22,SG Weißenfels/Jena,4,19,2,21,2,4.75,0.5,5.25,0.5
564,Lilly,Fritsche,Regionalliga Ost U15 Junioren,21/22,Floorball Pinguine Jena,10,6,2,8,2,0.6,0.2,0.8,0.2
565,Lilly,Fritsche,Regionalliga Ost U15 Juniorinnen Kleinfeld,21/22,SG Weißenfels/Jena,4,10,3,13,0,2.5,0.75,3.25,0.0
566,Lilly,Fritsche,FD-Pokal Damen,22/23,USV Jena,1,2,0,2,0,2.0,0.0,2.0,0.0
567,Lilly,Fritsche,U17-Trophy Juniorinnen (Sommer),22/23,Team Sachsen-Anhalt,4,0,1,1,0,0.0,0.25,0.25,0.0
568,Lilly,Fritsche,U17 Juniorinnen Kleinfeld Deutsche Meisterschaft,22/23,SG Saalemädels,4,7,4,11,0,1.75,1.0,2.75,0.0
569,Lilly,Fritsche,Playoffs Regionalliga Ost Damen Kleinfeld,22/23,USV Jena,2,3,0,3,0,1.5,0.0,1.5,0.0
570,Lilly,Fritsche,Regionalliga Ost Damen Kleinfeld,22/23,USV Jena,11,25,6,31,0,2.272727272727273,0.5454545454545454,2.8181818181818183,0.0
571,Lilly,Fritsche,Regionalliga Ost U17 Junioren Kleinfeld,22/23,Floorball Pinguine Jena,2,2,2,4,0,1.0,1.0,2.0,0.0
572,Lilly,Fritsche,Regionalliga Ost U17 Juniorinnen Kleinfeld,22/23,SG Saalemädels,6,16,7,23,0,2.6666666666666665,1.1666666666666667,3.8333333333333335,0.0
573,Lilly,Fritsche,FD-Pokal Damen,23/24,USV Jena,1,0,1,1,0,0.0,1.0,1.0,0.0
574,Lilly,Fritsche,Qualifikation U17 Junioren Süd/Ost,23/24,UHC Sparkasse Weißenfels,2,0,1,1,0,0.0,0.5,0.5,0.0
575,Lilly,Fritsche,Deutsche Meisterschaft U17 Juniorinnen Kleinfeld,23/24,SG Saalemädels,4,8,3,11,0,2.0,0.75,2.75,0.0
576,Lilly,Fritsche,U17 Juniorinnen Trophy,23/24,Team Sachsen-Anhalt,4,2,3,5,0,0.5,0.75,1.25,0.0
577,Lilly,Fritsche,Damen Kleinfeld Regionalliga Ost,23/24,USV Jena,6,13,4,17,0,2.1666666666666665,0.6666666666666666,2.8333333333333335,0.0
578,Lilly,Fritsche,U17 Junioren Regionalliga Ost,23/24,UHC Sparkasse Weißenfels,3,1,0,1,2,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666
579,Lilly,Fritsche,U17 Juniorinnen Kleinfeld Regionalliga Ost Playoffs,23/24,SG Saalemädels,2,6,2,8,0,3.0,1.0,4.0,0.0
580,Lilly,Fritsche,U17 Juniorinnen Kleinfeld Regionalliga Ost,23/24,SG Saalemädels,10,36,5,41,0,3.6,0.5,4.1,0.0
581,Lilly,Fritsche,,Total,,113,167,51,218,8,1.4778761061946903,0.45132743362831856,1.9292035398230087,0.07079646017699115
864,Cornelius,Förste,Platzierungsrunde Ost U11 Junioren Kleinfeld,21/22,Floorball Pinguine Jena,5,12,4,16,0,2.4,0.8,3.2,0.0
865,Cornelius,Förste,Regionalliga Ost U11 Junioren Kleinfeld St. 1,21/22,Floorball Pinguine Jena,5,6,5,11,0,1.2,1.0,2.2,0.0
866,Cornelius,Förste,Platzierungsrunde Regionalliga Ost U15 Junioren Kleinfeld,22/23,Floorball Pinguine Jena,5,12,3,15,0,2.4,0.6,3.0,0.0
867,Cornelius,Förste,Vorrunde Regionalliga Ost U15 Junioren Kleinfeld St. 2,22/23,Floorball Pinguine Jena,2,2,0,2,0,1.0,0.0,1.0,0.0
868,Cornelius,Förste,Regionalliga Ost U13 Junioren,22/23,SG Jena/Naumburg,8,7,2,9,0,0.875,0.25,1.125,0.0
869,Cornelius,Förste,Platzierungsrunde Regionalliga Ost U13 Junioren Kleinfeld,22/23,SG Jena/Naumburg,8,30,6,36,0,3.75,0.75,4.5,0.0
870,Cornelius,Förste,Vorrunde Regionalliga Ost U13 Junioren Kleinfeld St. 2,22/23,SG Jena/Naumburg,6,18,5,23,0,3.0,0.8333333333333334,3.8333333333333335,0.0
871,Cornelius,Förste,U15 Junioren Regionalliga Ost,23/24,Floorball Pinguine Jena,12,2,0,2,0,0.16666666666666666,0.0,0.16666666666666666,0.0
872,Cornelius,Förste,,Total,,51,89,25,114,0,1.7450980392156863,0.49019607843137253,2.235294117647059,0.0
627,Kevin,Gebhardt,FD-Pokal Herren,19/20,USV Jena,1,0,0,0,0,0.0,0.0,0.0,0.0
628,Kevin,Gebhardt,Verbandsliga Ost Herren St. 2,19/20,USV Jena,2,0,0,0,0,0.0,0.0,0.0,0.0
629,Kevin,Gebhardt,Verbandsliga Ost Herren Kleinfeld,19/20,USV Jena,4,0,0,0,0,0.0,0.0,0.0,0.0
630,Kevin,Gebhardt,,Total,,7,0,0,0,0,0.0,0.0,0.0,0.0
517,Florian,Geifes,Regionalliga Süd - Staffel BW,16/17,Sportvg Feuerbach,2,0,0,0,0,0.0,0.0,0.0,0.0
518,Florian,Geifes,Verbandsliga BW (KF),16/17,Sportvg Feuerbach,4,1,0,1,0,0.25,0.0,0.25,0.0
515,Florian,Geifes,Verbandsliga Ost Herren St. 1,18/19,USV Jena,1,0,0,0,0,0.0,0.0,0.0,0.0
516,Florian,Geifes,Verbandsliga BW (KF),21/22,SG Sparks Tübingen-Ulm,2,1,0,1,0,0.5,0.0,0.5,0.0
519,Florian,Geifes,,Total,,9,2,0,2,0,0.2222222222222222,0.0,0.2222222222222222,0.0
491,Elias,Gerth,Playdowns Regionalliga Ost U13 Junioren Kleinfeld,18/19,Floorball Pinguine Jena,2,0,0,0,0,0.0,0.0,0.0,0.0
492,Elias,Gerth,Regionalliga Ost U13 Junioren Kleinfeld St. 1,18/19,Floorball Pinguine Jena,6,0,0,0,0,0.0,0.0,0.0,0.0
493,Elias,Gerth,Regionalliga Ost U15 Junioren Kleinfeld St. 2,19/20,Floorball Pinguine Jena,12,0,0,0,0,0.0,0.0,0.0,0.0
494,Elias,Gerth,Regionalliga Ost U15 Junioren,20/21,Floorball Pinguine Jena,4,0,0,0,0,0.0,0.0,0.0,0.0
495,Elias,Gerth,Verbandsliga Ost Herren Kleinfeld St. 2,21/22,USV Jena,4,0,0,0,0,0.0,0.0,0.0,0.0
496,Elias,Gerth,Regionalliga Ost U15 Junioren,21/22,Floorball Pinguine Jena,12,0,0,0,0,0.0,0.0,0.0,0.0
497,Elias,Gerth,Playoffs Verbandsliga Ost Herren Großfeld,22/23,USV Jena,2,0,0,0,0,0.0,0.0,0.0,0.0
498,Elias,Gerth,Verbandsliga Ost Herren,22/23,USV Jena,8,0,0,0,0,0.0,0.0,0.0,0.0
499,Elias,Gerth,Regionalliga Ost U17 Junioren Kleinfeld,22/23,Floorball Pinguine Jena,6,0,0,0,0,0.0,0.0,0.0,0.0
500,Elias,Gerth,Herren Verbandsliga Ost Playoffs,23/24,USV Jena,2,0,0,0,0,0.0,0.0,0.0,0.0
501,Elias,Gerth,Herren Verbandsliga Ost,23/24,USV Jena,11,0,0,0,0,0.0,0.0,0.0,0.0
502,Elias,Gerth,,Total,,69,0,0,0,0,0.0,0.0,0.0,0.0
1354,Jonas,Grigo,U17 Kleinfeld Regionalliga Nord,15/16,PSV Flensburg,8,5,0,5,0,0.625,0.0,0.625,0.0
1355,Jonas,Grigo,Herren Kleinfeld Verbandsliga Nord Staffel Nord,16/17,PSV Flensburg,8,4,2,6,0,0.5,0.25,0.75,0.0
1356,Jonas,Grigo,Herren Kleinfeld Verbandsliga PLAYOFFS,16/17,PSV Flensburg,2,1,0,1,0,0.5,0.0,0.5,0.0
1357,Jonas,Grigo,U15 Kleinfeld Verbandsliga Nord,16/17,PSV Flensburg,10,34,3,37,0,3.4,0.3,3.7,0.0
1358,Jonas,Grigo,Herren Verbandsliga Nord,17/18,PSV Flensburg 2,7,3,0,3,0,0.42857142857142855,0.0,0.42857142857142855,0.0
1359,Jonas,Grigo,U17 Kleinfeld Regionalliga Nord,17/18,SG Hohenwestedt/Flensburg,6,2,4,6,0,0.3333333333333333,0.6666666666666666,1.0,0.0
1346,Jonas,Grigo,Herren Regionalliga Nord,18/19,PSV Flensburg,6,4,3,7,2,0.6666666666666666,0.5,1.1666666666666667,0.3333333333333333
1347,Jonas,Grigo,Herren Kleinfeld Verbandsliga Nord,18/19,PSV Flensburg,3,2,2,4,0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.0
1348,Jonas,Grigo,Herren Großfeld Verbandsliga Nord,19/20,S&S Flensburg,8,2,4,6,0,0.25,0.5,0.75,0.0
1349,Jonas,Grigo,Herren Kleinfeld Verbandsliga Nord,19/20,S&S Flensburg,8,12,6,18,2,1.5,0.75,2.25,0.25
1350,Jonas,Grigo,Playoffs Verbandsliga Ost Herren Großfeld,22/23,USV Jena,1,0,0,0,0,0.0,0.0,0.0,0.0
1351,Jonas,Grigo,Verbandsliga Ost Herren,22/23,USV Jena,4,1,1,2,0,0.25,0.25,0.5,0.0
1352,Jonas,Grigo,Herren Verbandsliga Ost Playoffs,23/24,USV Jena,1,0,0,0,0,0.0,0.0,0.0,0.0
1353,Jonas,Grigo,Herren Verbandsliga Ost,23/24,USV Jena,1,0,0,0,0,0.0,0.0,0.0,0.0
1360,Jonas,Grigo,,Total,,73,70,25,95,4,0.958904109589041,0.3424657534246575,1.3013698630136987,0.0547945205479452
1394,Felix,Große,Platzierungsrunde Regionalliga Ost U11 Junioren Kleinfeld,22/23,Floorball Pinguine Jena,13,4,5,9,0,0.3076923076923077,0.38461538461538464,0.6923076923076923,0.0
1395,Felix,Große,U13 Junioren Kleinfeld Platzierungsrunde Ost,23/24,Floorball Pinguine Jena,9,9,2,11,0,1.0,0.2222222222222222,1.2222222222222223,0.0
1396,Felix,Große,U13 Junioren Kleinfeld Regionalliga Ost St. 3,23/24,Floorball Pinguine Jena,2,0,2,2,0,0.0,1.0,1.0,0.0
1397,Felix,Große,U11 Junioren Kleinfeld Platzierungsrunde Ost,23/24,Floorball Pinguine Jena,12,23,5,28,0,1.9166666666666667,0.4166666666666667,2.3333333333333335,0.0
1398,Felix,Große,U11 Junioren Kleinfeld Regionalliga Ost St. 2,23/24,Floorball Pinguine Jena,4,2,0,2,0,0.5,0.0,0.5,0.0
1399,Felix,Große,,Total,,40,38,14,52,0,0.95,0.35,1.3,0.0
908,Maximilian Carl Ulrich,Grüner,Platzierungsrunde Ost U11 Junioren Kleinfeld,21/22,Floorball Pinguine Jena,6,1,1,2,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0
909,Maximilian Carl Ulrich,Grüner,Regionalliga Ost U11 Junioren Kleinfeld St. 1,21/22,Floorball Pinguine Jena,4,0,0,0,0,0.0,0.0,0.0,0.0
910,Maximilian Carl Ulrich,Grüner,Platzierungsrunde Regionalliga Ost U15 Junioren Kleinfeld,22/23,Floorball Pinguine Jena,6,0,0,0,0,0.0,0.0,0.0,0.0
911,Maximilian Carl Ulrich,Grüner,Vorrunde Regionalliga Ost U15 Junioren Kleinfeld St. 2,22/23,Floorball Pinguine Jena,2,0,0,0,0,0.0,0.0,0.0,0.0
912,Maximilian Carl Ulrich,Grüner,Regionalliga Ost U13 Junioren,22/23,SG Jena/Naumburg,10,0,0,0,0,0.0,0.0,0.0,0.0
913,Maximilian Carl Ulrich,Grüner,Platzierungsrunde Regionalliga Ost U13 Junioren Kleinfeld,22/23,SG Jena/Naumburg,12,0,6,6,0,0.0,0.5,0.5,0.0
914,Maximilian Carl Ulrich,Grüner,Vorrunde Regionalliga Ost U13 Junioren Kleinfeld St. 2,22/23,SG Jena/Naumburg,4,0,0,0,0,0.0,0.0,0.0,0.0
915,Maximilian Carl Ulrich,Grüner,U15 Junioren Regionalliga Ost,23/24,Floorball Pinguine Jena,12,0,0,0,0,0.0,0.0,0.0,0.0
916,Maximilian Carl Ulrich,Grüner,U13 Junioren Kleinfeld Platzierungsrunde Ost,23/24,Floorball Pinguine Jena,12,0,6,6,0,0.0,0.5,0.5,0.0
917,Maximilian Carl Ulrich,Grüner,U13 Junioren Kleinfeld Regionalliga Ost St. 3,23/24,Floorball Pinguine Jena,4,0,3,3,0,0.0,0.75,0.75,0.0
918,Maximilian Carl Ulrich,Grüner,,Total,,72,1,16,17,0,0.013888888888888888,0.2222222222222222,0.2361111111111111,0.0
548,Anne Sophie,Hagemann,Regionalliga Ost Damen Kleinfeld,18/19,USV Jena,6,1,0,1,0,0.16666666666666666,0.0,0.16666666666666666,0.0
549,Anne Sophie,Hagemann,,Total,,6,1,0,1,0,0.16666666666666666,0.0,0.16666666666666666,0.0
147,Manuel,Hallabrin,Stena Line FD-Pokal Herren,15/16,USV Jena,1,1,0,1,0,1.0,0.0,1.0,0.0
148,Manuel,Hallabrin,Verbandsliga Ost Herren St. 2,15/16,USV Jena,7,4,2,6,0,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.0
149,Manuel,Hallabrin,Stena Line FD-Pokal (Herren),16/17,USV Jena,1,1,0,1,0,1.0,0.0,1.0,0.0
150,Manuel,Hallabrin,Verbandsliga Ost Herren Staffel 2,16/17,USV Jena,11,1,4,5,0,0.09090909090909091,0.36363636363636365,0.45454545454545453,0.0
151,Manuel,Hallabrin,FD-Pokal Herren,17/18,USV Jena,1,0,0,0,0,0.0,0.0,0.0,0.0
152,Manuel,Hallabrin,Verbandsliga Herren St. 2,17/18,USV Jena,10,4,1,5,0,0.4,0.1,0.5,0.0
153,Manuel,Hallabrin,Regionalliga Herren Kleinfeld St. 1,17/18,USV Jena,2,3,0,3,2,1.5,0.0,1.5,1.0
137,Manuel,Hallabrin,FD-Pokal Herren,18/19,USV Jena,2,3,1,4,0,1.5,0.5,2.0,0.0
138,Manuel,Hallabrin,Verbandsliga Ost Herren St. 1,18/19,USV Jena,6,1,0,1,0,0.16666666666666666,0.0,0.16666666666666666,0.0
139,Manuel,Hallabrin,FD-Pokal Herren,19/20,USV Jena,1,0,0,0,0,0.0,0.0,0.0,0.0
140,Manuel,Hallabrin,Verbandsliga Ost Herren St. 2,19/20,USV Jena,7,0,2,2,0,0.0,0.2857142857142857,0.2857142857142857,0.0
141,Manuel,Hallabrin,Verbandsliga Ost Herren Kleinfeld,19/20,USV Jena,2,2,0,2,0,1.0,0.0,1.0,0.0
142,Manuel,Hallabrin,Regionalliga Ost Herren,20/21,USV Jena,1,0,0,0,0,0.0,0.0,0.0,0.0
143,Manuel,Hallabrin,Regionalliga Ost Herren,21/22,USV Jena,6,1,0,1,0,0.16666666666666666,0.0,0.16666666666666666,0.0
144,Manuel,Hallabrin,Verbandsliga Ost Herren Kleinfeld St. 2,21/22,USV Jena,2,4,2,6,0,2.0,1.0,3.0,0.0
145,Manuel,Hallabrin,Playoffs Verbandsliga Ost Herren Großfeld,22/23,USV Jena,1,0,0,0,0,0.0,0.0,0.0,0.0
146,Manuel,Hallabrin,Verbandsliga Ost Herren,22/23,USV Jena,8,5,1,6,0,0.625,0.125,0.75,0.0
154,Manuel,Hallabrin,,Total,,69,30,13,43,2,0.43478260869565216,0.18840579710144928,0.6231884057971014,0.028985507246376812
971,Fiona,Hartmann,Playoffs Regionalliga Ost U9 Junioren Kleintor,21/22,Floorball Pinguine Jena,3,8,0,8,0,2.6666666666666665,0.0,2.6666666666666665,0.0
972,Fiona,Hartmann,Regionalliga Ost U9 Junioren Kleintor St. 1,21/22,Floorball Pinguine Jena,9,15,6,21,0,1.6666666666666667,0.6666666666666666,2.3333333333333335,0.0
973,Fiona,Hartmann,U13 Juniorinnen Kleinfeld Deutsche Meisterschaft,22/23,SG Jena/Naumburg,3,2,2,4,0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.0
974,Fiona,Hartmann,Regionalliga Ost U13 Juniorinnen Kleinfeld,22/23,SG Jena/Naumburg,2,1,3,4,0,0.5,1.5,2.0,0.0
975,Fiona,Hartmann,Platzierungsrunde Regionalliga Ost U11 Junioren Kleinfeld,22/23,Floorball Pinguine Jena,14,17,2,19,2,1.2142857142857142,0.14285714285714285,1.3571428571428572,0.14285714285714285
976,Fiona,Hartmann,Vorrunde Regionalliga Ost U11 Junioren Kleinfeld St. 2,22/23,Floorball Pinguine Jena,6,9,1,10,0,1.5,0.16666666666666666,1.6666666666666667,0.0
977,Fiona,Hartmann,U15 Juniorinnen Kleinfeld Regionalliga Ost,23/24,SG Saalemädels,7,5,12,17,0,0.7142857142857143,1.7142857142857142,2.4285714285714284,0.0
978,Fiona,Hartmann,U13 Juniorinnen Kleinfeld DM Quali,23/24,Floorball Pinguine Jena,1,4,0,4,0,4.0,0.0,4.0,0.0
979,Fiona,Hartmann,U13 Juniorinnen Kleinfeld Regionalliga Ost,23/24,Floorball Pinguine Jena,6,21,9,30,0,3.5,1.5,5.0,0.0
980,Fiona,Hartmann,U11 Junioren Kleinfeld Platzierungsrunde Ost,23/24,Floorball Pinguine Jena,6,2,0,2,0,0.3333333333333333,0.0,0.3333333333333333,0.0
981,Fiona,Hartmann,U11 Junioren Kleinfeld Regionalliga Ost St. 2,23/24,Floorball Pinguine Jena,4,2,1,3,0,0.5,0.25,0.75,0.0
982,Fiona,Hartmann,,Total,,61,86,36,122,2,1.4098360655737705,0.5901639344262295,2.0,0.03278688524590164
614,Elena,Haschke,Regionalliga Ost U13 Junioren Kleinfeld St. 1,18/19,Floorball Pinguine Jena,2,0,0,0,0,0.0,0.0,0.0,0.0
615,Elena,Haschke,,Total,,2,0,0,0,0,0.0,0.0,0.0,0.0
848,Steffen,Hellmann,Verbandsliga Ost Herren Kleinfeld St. 2,21/22,USV Jena,5,4,0,4,0,0.8,0.0,0.8,0.0
849,Steffen,Hellmann,,Total,,5,4,0,4,0,0.8,0.0,0.8,0.0
607,Mathilda,Herold,Regionalliga Ost U13 Junioren Kleinfeld St. 1,18/19,Floorball Pinguine Jena,4,0,0,0,0,0.0,0.0,0.0,0.0
608,Mathilda,Herold,,Total,,4,0,0,0,0,0.0,0.0,0.0,0.0
1166,Hannah,Herrmann,Playoffs Regionalliga Ost U11 Junioren Kleintor,18/19,UHC Sparkasse Weißenfels,3,0,0,0,0,0.0,0.0,0.0,0.0
1167,Hannah,Herrmann,Regionalliga Ost U11 Junioren Kleintor St. 2,18/19,UHC Sparkasse Weißenfels,11,1,1,2,2,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182
1168,Hannah,Herrmann,Regionalliga Ost U11 Junioren Kleinfeld Meisterrunde,19/20,UHC Sparkasse Weißenfels,6,0,0,0,0,0.0,0.0,0.0,0.0
1169,Hannah,Herrmann,Regionalliga Ost U11 Junioren Kleinfeld Vorrunde St. 2,19/20,UHC Sparkasse Weißenfels,6,3,2,5,0,0.5,0.3333333333333333,0.8333333333333334,0.0
1170,Hannah,Herrmann,Regionalliga Ost U13 Junioren,20/21,UHC Sparkasse Weißenfels,2,5,0,5,0,2.5,0.0,2.5,0.0
1171,Hannah,Herrmann,Regionalliga Ost U13 Junioren Kleinfeld St. 2,20/21,UHC Sparkasse Weißenfels,2,0,0,0,0,0.0,0.0,0.0,0.0
1172,Hannah,Herrmann,U15 Juniorinnen Kleinfeld Deutsche Meisterschaft,21/22,SG Weißenfels/Jena,4,1,3,4,0,0.25,0.75,1.0,0.0
1173,Hannah,Herrmann,Regionalliga Ost U15 Juniorinnen Kleinfeld,21/22,SG Weißenfels/Jena,6,2,5,7,0,0.3333333333333333,0.8333333333333334,1.1666666666666667,0.0
1174,Hannah,Herrmann,Playoffs Regionalliga Ost U13 Junioren,21/22,UHC Sparkasse Weißenfels,2,0,0,0,0,0.0,0.0,0.0,0.0
1175,Hannah,Herrmann,Regionalliga Ost U13 Junioren,21/22,UHC Sparkasse Weißenfels,7,3,0,3,0,0.42857142857142855,0.0,0.42857142857142855,0.0
1176,Hannah,Herrmann,DM-Quali Ost U13 Junioren Kleinfeld,21/22,UHC Sparkasse Weißenfels,1,0,0,0,0,0.0,0.0,0.0,0.0
1177,Hannah,Herrmann,Playoffs Regionalliga Ost U13 Junioren Kleinfeld,21/22,UHC Sparkasse Weißenfels,2,1,0,1,0,0.5,0.0,0.5,0.0
1178,Hannah,Herrmann,Regionalliga Ost U13 Junioren Kleinfeld St. 2,21/22,UHC Sparkasse Weißenfels,4,2,4,6,0,0.5,1.0,1.5,0.0
1179,Hannah,Herrmann,U17-Trophy Juniorinnen (Sommer),22/23,Team Sachsen-Anhalt,4,0,1,1,0,0.0,0.25,0.25,0.0
1180,Hannah,Herrmann,U17 Juniorinnen Kleinfeld Deutsche Meisterschaft,22/23,SG Saalemädels,4,0,1,1,0,0.0,0.25,0.25,0.0
1181,Hannah,Herrmann,Regionalliga Ost U17 Juniorinnen Kleinfeld,22/23,SG Saalemädels,6,2,1,3,0,0.3333333333333333,0.16666666666666666,0.5,0.0
1182,Hannah,Herrmann,Playoffs Regionalliga Ost U15 Junioren,22/23,UHC Sparkasse Weißenfels,2,0,0,0,0,0.0,0.0,0.0,0.0
1183,Hannah,Herrmann,Regionalliga Ost U15 Junioren,22/23,UHC Sparkasse Weißenfels,14,5,1,6,0,0.35714285714285715,0.07142857142857142,0.42857142857142855,0.0
1184,Hannah,Herrmann,Deutsche Meisterschaft U17 Juniorinnen Kleinfeld,23/24,SG Saalemädels,4,0,1,1,0,0.0,0.25,0.25,0.0
1185,Hannah,Herrmann,U17 Juniorinnen Trophy,23/24,Team Sachsen-Anhalt,4,0,0,0,0,0.0,0.0,0.0,0.0
1186,Hannah,Herrmann,U17 Junioren Regionalliga Ost,23/24,UHC Sparkasse Weißenfels,9,1,1,2,0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0
1187,Hannah,Herrmann,U17 Juniorinnen Kleinfeld Regionalliga Ost Playoffs,23/24,SG Saalemädels,2,2,1,3,0,1.0,0.5,1.5,0.0
1188,Hannah,Herrmann,U17 Juniorinnen Kleinfeld Regionalliga Ost,23/24,SG Saalemädels,10,6,9,15,0,0.6,0.9,1.5,0.0
1189,Hannah,Herrmann,U15 Junioren Regionalliga Ost Playoffs,23/24,UHC Sparkasse Weißenfels,1,0,0,0,0,0.0,0.0,0.0,0.0
1190,Hannah,Herrmann,U15 Junioren Regionalliga Ost,23/24,UHC Sparkasse Weißenfels,14,1,4,5,0,0.07142857142857142,0.2857142857142857,0.35714285714285715,0.0
1191,Hannah,Herrmann,U15 Juniorinnen Kleinfeld Regionalliga Ost,23/24,SG Saalemädels,7,9,13,22,0,1.2857142857142858,1.8571428571428572,3.142857142857143,0.0
1192,Hannah,Herrmann,,Total,,137,44,48,92,2,0.32116788321167883,0.35036496350364965,0.6715328467153284,0.014598540145985401
754,Janna,Herzog,Regionalliga Ost U11 Junioren Kleintor,19/20,Floorball Pinguine Jena,4,0,0,0,0,0.0,0.0,0.0,0.0
755,Janna,Herzog,,Total,,4,0,0,0,0,0.0,0.0,0.0,0.0
756,Julika,Herzog,Regionalliga Ost U11 Junioren Kleintor,19/20,Floorball Pinguine Jena,4,0,0,0,0,0.0,0.0,0.0,0.0
757,Julika,Herzog,,Total,,4,0,0,0,0,0.0,0.0,0.0,0.0
390,Kilian,Herzog,Playdowns Regionalliga Ost U13 Junioren Kleinfeld,18/19,Floorball Pinguine Jena,2,2,0,2,0,1.0,0.0,1.0,0.0
391,Kilian,Herzog,Regionalliga Ost U13 Junioren Kleinfeld St. 1,18/19,Floorball Pinguine Jena,12,11,2,13,0,0.9166666666666666,0.16666666666666666,1.0833333333333333,0.0
392,Kilian,Herzog,Regionalliga Ost U15 Junioren Kleinfeld St. 2,19/20,Floorball Pinguine Jena,12,6,1,7,0,0.5,0.08333333333333333,0.5833333333333334,0.0
393,Kilian,Herzog,Regionalliga Ost U13 Junioren Kleinfeld St. 2,19/20,Floorball Pinguine Jena,4,3,2,5,0,0.75,0.5,1.25,0.0
394,Kilian,Herzog,Regionalliga Ost U15 Junioren,20/21,Floorball Pinguine Jena,4,0,0,0,0,0.0,0.0,0.0,0.0
395,Kilian,Herzog,Regionalliga Ost U15 Junioren,21/22,Floorball Pinguine Jena,8,2,1,3,0,0.25,0.125,0.375,0.0
396,Kilian,Herzog,Regionalliga Ost U17 Junioren Kleinfeld,22/23,Floorball Pinguine Jena,4,5,1,6,0,1.25,0.25,1.5,0.0
397,Kilian,Herzog,Herren Verbandsliga Ost Playoffs,23/24,USV Jena,1,0,0,0,0,0.0,0.0,0.0,0.0
398,Kilian,Herzog,Herren Verbandsliga Ost,23/24,USV Jena,10,1,0,1,2,0.1,0.0,0.1,0.2
399,Kilian,Herzog,,Total,,57,30,7,37,2,0.5263157894736842,0.12280701754385964,0.6491228070175439,0.03508771929824561
1642,Anja,Hoffmann,Regionalliga Ost Damen KF,15/16,USV Jena,6,1,0,1,0,0.16666666666666666,0.0,0.16666666666666666,0.0
1643,Anja,Hoffmann,,Total,,6,1,0,1,0,0.16666666666666666,0.0,0.16666666666666666,0.0
1032,Moritz,Hoffmann,Regionalliga Ost U9 Junioren Kleintor St. 1,21/22,Floorball Pinguine Jena,2,0,0,0,0,0.0,0.0,0.0,0.0
1033,Moritz,Hoffmann,Platzierungsrunde Regionalliga Ost U11 Junioren Kleinfeld,22/23,Floorball Pinguine Jena,1,0,0,0,0,0.0,0.0,0.0,0.0
1034,Moritz,Hoffmann,Vorrunde Regionalliga Ost U11 Junioren Kleinfeld St. 2,22/23,Floorball Pinguine Jena,2,0,0,0,2,0.0,0.0,0.0,1.0
1035,Moritz,Hoffmann,,Total,,5,0,0,0,2,0.0,0.0,0.0,0.4
524,Julian,Hofmann,Verbandsliga Ost Herren Kleinfeld,18/19,USV Jena,2,2,1,3,0,1.0,0.5,1.5,0.0
525,Julian,Hofmann,,Total,,2,2,1,3,0,1.0,0.5,1.5,0.0
367,Eric ,Hofmann ,Regionalliga Ost Herren KF Staffel 1,16/17,USV Jena,6,1,4,5,0,0.16666666666666666,0.6666666666666666,0.8333333333333334,0.0
368,Eric ,Hofmann ,Regionalliga Herren Kleinfeld St. 1,17/18,USV Jena,10,8,5,13,4,0.8,0.5,1.3,0.4
353,Eric ,Hofmann ,Herren Regionalliga Nord,18/19,TSC Wellingsbüttel,4,1,1,2,4,0.25,0.25,0.5,1.0
354,Eric ,Hofmann ,Playoffs Verbandsliga Ost Herren KF,18/19,USV Jena,2,1,1,2,0,0.5,0.5,1.0,0.0
