"OrigName","MainName","TeamID"
"MFBC Grimma (D)","MFBC Grimma (D)",79
"MFBC Leipzig","MFBC Leipzig",80
"MFBC Leipzig/Grimma","MFBC Leipzig/Grimma",81
"MFBC Leipzig/Grimma II","MFBC Leipzig/Grimma",81
"MFBC Leipzig/Schkeuditz","MFBC Leipzig/Schkeuditz",82
"MFBC Schkeuditz","MFBC Schkeuditz",82
"MFBC Schkeuditz/Leipzig","MFBC Schkeuditz/Leipzig",83
"MTV 1846 Gießen","MTV 1846 Gießen",84
"MTV Mittelnkirchen","MTV Mittelnkirchen",85
"NUT`s 04 Nürnberg","Nut´s 04 Nürnberg",86
"NUT´s 04 Nürnberg","Nut´s 04 Nürnberg",86
"Nut´s 04 Nürnberg","Nut´s 04 Nürnberg",86
"Nuts ´04 Nürnberg","Nut´s 04 Nürnberg",86
"Panther Regensburg","Panther Regensburg",87
"Post/Süd Panther Regensburg","Panther Regensburg",87
"Partisan Connewitz","Partisan Connewitz",88
"Phönix Leipzig","Phönix Leipzig",89
"PSV 90 Dessau","PSV 90 Dessau",90
"PSV 90 Dessau II","PSV 90 Dessau II",91
"PSV Aachen","PSV Aachen",92
"PSV Flensburg","PSV Flensburg",93
"PSV Flensburg 1","PSV Flensburg",93
"PSV Flensburg 2","PSV Flensburg 2",94
"PSV Wikinger München","PSV Wikinger München",95
"PTSV United Lakers Konstanz","United Lakers Konstanz",209
"Red Devils Wernigerode","Red Devils Wernigerode",97
"Red Devils Wernigerode (U23)","Red Devils Wernigerode U23",98
"Red Devils Wernigerode U23","Red Devils Wernigerode U23",98
"SC DHfK Leipzig","SC DHfK Leipzig",99
"SC DHfK Leipzig II","SC DHfK Leipzig II",100
"SC Itzehoe","SC Itzehoe",101
"SC Itzehoe II","SC Itzehoe II",102
"SC Potsdam","SC Potsdam",103
"SC Weende Göttingen","SC Weende Göttingen",104
"SCS Berlin","SCS Berlin",105
"Seabulls","Seabulls",106
"SG Bloherfelde/Nordenham","SG Bloherfelde/Nordenham",107
"SG Bloherfelde/Sedelsberg","SG Bloherfelde/Sedelsberg",108
"SG Bonn/Refrath","SG Bonn/Refrath",109
"SG Bordesholm/Preetz","SG Bordesholm/Preetz",110
"SG Bordesholm/Preetz/Gaarden","SG Bordesholm/Preetz/Gaarden",111
"SG Calw-Tübingen","SG Calw-Tübingen",112
"SG Donau Floorball Ingolstadt II / Haunwöhr","SG Donau Floorball Ingolstadt II / Haunwöhr",113
"SG ETV Piranhhas II/III","SG ETV Piranhhas II",114
"SG Floorball Rhein-Neckar","SG Floorball Rhein-Neckar",115
"SG FTC+ Berlin","SG FTC+ Berlin",116
"SG Gettorf / Barkelsby","SG Gettorf / Barkelsby",117
"SG Gettorf/Barkelsby","SG Gettorf / Barkelsby",117
"SG Hannover","SG Hannover",118
"SG Harzgerode/Großörner","SG Harzgerode/Großörner",119
"SG Heidelberg Mannheim","SG Heidelberg Mannheim",120
"SG Heidenau/Graupa","SG Heidenau/Graupa",121
"SG Hochdahl-Aachen","SG Hochdahl-Aachen",122
"SG Kiel/Neuwittenbek","SG Kiel/Neuwittenbek",123
"SG Kölln-Reisiek","SG Kölln-Reisiek",124
"SG Kölln-Reisiek/Brunsbüttel","SG Kölln-Reisiek/Brunsbüttel",125
